CAGR,Vol,Sharpe,MaxDD,Hit%,window,vt_target,exec_speed,no_trade_band,w_cap,AnnTurn
0.096,0.1576,0.4825,-0.303,0.5231,84,0.08,0.5,0.004,0.2,1.1197
0.0957,0.1576,0.4804,-0.303,0.5231,84,0.08,0.5,0.004,0.3,1.263
0.0978,0.1576,0.4939,-0.303,0.5242,84,0.1,0.25,0.001,0.1,0.4459
0.0976,0.1576,0.4928,-0.303,0.5242,84,0.1,0.25,0.001,0.2,0.5071
0.0976,0.1576,0.4926,-0.303,0.5242,84,0.1,0.25,0.001,0.3,0.5211
0.0979,0.1576,0.4941,-0.303,0.5242,84,0.1,0.25,0.002,0.1,0.4436
0.0977,0.1576,0.493,-0.303,0.5242,84,0.1,0.25,0.002,0.2,0.5048
0.0976,0.1576,0.4928,-0.303,0.5242,84,0.1,0.25,0.002,0.3,0.5188
0.0979,0.1576,0.4946,-0.303,0.5242,84,0.1,0.25,0.004,0.1,0.4379
0.0977,0.1576,0.4934,-0.303,0.5242,84,0.1,0.25,0.004,0.2,0.4991
0.0977,0.1576,0.4933,-0.303,0.5242,84,0.1,0.25,0.004,0.3,0.5131
0.0977,0.1576,0.4929,-0.303,0.5242,84,0.1,0.33,0.001,0.1,0.499
0.0972,0.1576,0.4898,-0.303,0.5242,84,0.1,0.33,0.001,0.2,0.6604
0.0972,0.1576,0.4897,-0.303,0.5242,84,0.1,0.33,0.001,0.3,0.6744
0.0977,0.1576,0.4931,-0.303,0.5242,84,0.1,0.33,0.002,0.1,0.496
0.0972,0.1576,0.4901,-0.303,0.5242,84,0.1,0.33,0.002,0.2,0.6573
0.0972,0.1576,0.49,-0.303,0.5242,84,0.1,0.33,0.002,0.3,0.6713
0.0978,0.1576,0.4936,-0.303,0.5242,84,0.1,0.33,0.004,0.1,0.4885
0.0973,0.1576,0.4906,-0.303,0.5242,84,0.1,0.33,0.004,0.2,0.6498
0.0973,0.1576,0.4905,-0.303,0.5242,84,0.1,0.33,0.004,0.3,0.6638
0.0974,0.1576,0.4915,-0.303,0.5236,84,0.1,0.5,0.001,0.1,0.5766
0.0966,0.1576,0.4861,-0.303,0.5236,84,0.1,0.5,0.001,0.2,0.8918
0.0963,0.1576,0.4845,-0.303,0.5236,84,0.1,0.5,0.001,0.3,1.0001
0.0975,0.1576,0.4918,-0.303,0.5236,84,0.1,0.5,0.002,0.1,0.5719
0.0966,0.1576,0.4864,-0.303,0.5236,84,0.1,0.5,0.002,0.2,0.8871
0.0964,0.1576,0.4848,-0.303,0.5236,84,0.1,0.5,0.002,0.3,0.9955
0.0976,0.1576,0.4924,-0.303,0.5236,84,0.1,0.5,0.004,0.1,0.5606
0.0967,0.1576,0.487,-0.303,0.5236,84,0.1,0.5,0.004,0.2,0.8758
0.0965,0.1576,0.4854,-0.303,0.5236,84,0.1,0.5,0.004,0.3,0.9842
0.0976,0.1576,0.4923,-0.303,0.5236,84,0.12,0.25,0.001,0.1,0.5433
0.0974,0.1576,0.4912,-0.303,0.5236,84,0.12,0.25,0.001,0.2,0.6123
0.0974,0.1576,0.4911,-0.303,0.5236,84,0.12,0.25,0.001,0.3,0.6282
0.0976,0.1576,0.4924,-0.303,0.5236,84,0.12,0.25,0.002,0.1,0.5428
0.0974,0.1576,0.4913,-0.303,0.5236,84,0.12,0.25,0.002,0.2,0.6118
0.0974,0.1576,0.4911,-0.303,0.5236,84,0.12,0.25,0.002,0.3,0.6277
0.0976,0.1576,0.4926,-0.303,0.5236,84,0.12,0.25,0.004,0.1,0.5402
0.0974,0.1576,0.4915,-0.303,0.5236,84,0.12,0.25,0.004,0.2,0.6093
0.0974,0.1576,0.4914,-0.303,0.5236,84,0.12,0.25,0.004,0.3,0.6251
0.0973,0.1576,0.4908,-0.303,0.5231,84,0.12,0.33,0.001,0.1,0.6315
0.0969,0.1576,0.4882,-0.303,0.5231,84,0.12,0.33,0.001,0.2,0.7813
