train_start,train_end,window,vt_target,exec_speed,no_trade_band,turnover_cap,score,Sharpe,AnnTurn
2019-02-12,2024-02-12,63,0.1,0.5,0.002,0.2,-0.3159683830305132,0.3925432481334603,1.417023262327947
2019-02-12,2024-02-12,63,0.1,0.5,0.004,0.1,-0.024036768256423702,0.40169389285434987,0.8514613222215471
2019-02-12,2024-02-12,63,0.1,0.5,0.004,0.2,-0.30557334822866655,0.39341948919025294,1.397985674837839
2019-02-12,2024-02-12,63,0.12,0.25,0.001,0.1,0.028725675573133658,0.4034582055213047,0.749465059896342
2019-02-12,2024-02-12,63,0.12,0.25,0.001,0.2,-0.044233187557066345,0.40169978684914137,0.8918659488124154
2019-02-12,2024-02-12,63,0.12,0.25,0.002,0.1,0.028725675573133658,0.4034582055213047,0.749465059896342
2019-02-12,2024-02-12,63,0.12,0.25,0.002,0.2,-0.044233187557066345,0.40169978684914137,0.8918659488124154
2019-02-12,2024-02-12,63,0.12,0.25,0.004,0.1,0.030683514517329424,0.40374376779891147,0.7461205065631641
2019-02-12,2024-02-12,63,0.12,0.25,0.004,0.2,-0.042275430001234904,0.40198526773838383,0.8885213954792375
2019-02-12,2024-02-12,63,0.12,0.33,0.001,0.1,-0.03179601722944103,0.40151913790910493,0.8666303102770919
2019-02-12,2024-02-12,63,0.12,0.33,0.001,0.2,-0.15699427464019167,0.39782293238159583,1.109634414043575
2019-02-12,2024-02-12,63,0.12,0.33,0.002,0.1,-0.03179601722944103,0.40151913790910493,0.8666303102770919
2019-02-12,2024-02-12,63,0.12,0.33,0.002,0.2,-0.15699427464019167,0.39782293238159583,1.109634414043575
2019-02-12,2024-02-12,63,0.12,0.33,0.004,0.1,-0.029259889323520416,0.4018478606151281,0.8622154998772971
2019-02-12,2024-02-12,63,0.12,0.33,0.004,0.2,-0.15445834136508985,0.39815146045680017,1.10521960364378
2019-02-12,2024-02-12,63,0.12,0.5,0.001,0.1,-0.08524444614317639,0.39978028996881787,0.9700494722239885
2019-02-12,2024-02-12,63,0.12,0.5,0.001,0.2,-0.3573665839870538,0.39209847590928837,1.4989301197926843
